,Category,Sub Category,Grand Category
123,Electronic Accessories,Computers & Laptops Accessories,0
124,Home & Lifestyle,Kitchen & Dining,0
125,Men's Fashion,Men's Accessories,0
126,Fashion Accessories,Women's Fashion Jewellery,0
127,Automotive & Motorcycles,Auto Parts & Spares,"Auto Bulbs, LEDs & HIDs"
128,Automotive & Motorcycles,Auto Parts & Spares,Engine Parts
129,Automotive & Motorcycles,Auto Parts & Spares,Air filters
130,Automotive & Motorcycles,Auto Parts & Spares,Oil filters
131,Automotive & Motorcycles,Auto Parts & Spares,Batteries & Accessories
132,Automotive & Motorcycles,Auto Parts & Spares,"Shocks, Struts & Suspension"
133,Automotive & Motorcycles,Auto Parts & Spares,Exhaust Pipes & Accessories
134,Automotive & Motorcycles,Auto Parts & Spares,Windshield Wipers & Washers
135,Automotive & Motorcycles,Auto Parts & Spares,Brake System
136,Automotive & Motorcycles,Auto Parts & Spares,Body Parts
137,Automotive & Motorcycles,Auto Parts & Spares,Car Diagnostic & Test Tools
138,Electronic Devices,Point & Shoot,Point & Shoot
139,Electronic Devices,Point & Shoot,Underwater Digital Cameras
140,Electronic Accessories,Computer Components,0
141,Home & Lifestyle,Stationery & Office Supplies,0
142,Men's Fashion,Men's Underwear,0
143,Fashion Accessories,Men's Fashion Jewellery,0
144,Automotive & Motorcycles,Auto Accessories,Interior Accessories
145,Automotive & Motorcycles,Auto Accessories,Exterior Accessories
146,Automotive & Motorcycles,Auto Accessories,GPS
147,Automotive & Motorcycles,Auto Accessories,Electronic Accessoires
148,Automotive & Motorcycles,Auto Accessories,Air Purifiers
149,Automotive & Motorcycles,Auto Accessories,Air Fresheners
150,Automotive & Motorcycles,Auto Accessories,Covers
151,Automotive & Motorcycles,Auto Accessories,Seat Covers
152,Automotive & Motorcycles,Auto Accessories,Floor Mats & Cargo Liners
153,Automotive & Motorcycles,Auto Accessories,Steering Wheels & Accessories
154,Automotive & Motorcycles,Auto Accessories,Key Chains
155,Electronic Devices,Instant Camera,Instant Cameras
156,Electronic Devices,Instant Camera,Instant Camera Films
